Proccess,ID,Target,F1mean,F1std,ROCmean,ROCstd
1a,['C6' 'T1' 'T2' 'T3'],Y1,0.4844,0.0459,0.4738,0.0752
1a,['C6' 'T1' 'T2' 'T3' 'T4'],Y1,0.514,0.0668,0.4765,0.0765
1a,['C6' 'T1' 'T2' 'T3' 'T4' 'T5'],Y1,0.4589,0.0361,0.4479,0.0555
1a,['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1'],Y1,0.4588,0.0421,0.4185,0.0747
1a,['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2'],Y1,0.4214,0.043,0.3878,0.0678
1a,['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3'],Y1,0.4235,0.0624,0.3875,0.0702
1a,['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'],Y1,0.4348,0.0439,0.392,0.0452
1a,['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'],Y1,0.4298,0.0459,0.3921,0.047
1a,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio']",Y1,0.431,0.0512,0.3896,0.045
1a,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio']",Y1,0.4332,0.0453,0.391,0.0426
1a,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio']",Y1,0.4278,0.0435,0.3884,0.043
1a,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2']",Y1,0.4259,0.0439,0.394,0.0537
1a,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~']",Y1,0.4422,0.041,0.3898,0.0453
1a,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~']",Y1,0.1107,0.0523,0.0972,0.0546
1a,"['C6' 'T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~' 'bin_EPS']",Y1,0.1107,0.0523,0.0969,0.0538
1a,['T1'],Y1,0.5953,0.1517,0.5144,0.053
1a,['T1' 'T2'],Y1,0.5116,0.0597,0.4924,0.0624
1a,['T1' 'T2' 'T3'],Y1,0.4765,0.0669,0.4584,0.0759
1a,['T1' 'T2' 'T3' 'T4'],Y1,0.5035,0.0568,0.4634,0.0702
1a,['T1' 'T2' 'T3' 'T4' 'T5'],Y1,0.4608,0.0538,0.4341,0.0397
1a,['T1' 'T2' 'T3' 'T4' 'T5' 'S1'],Y1,0.4474,0.0436,0.4162,0.0685
1a,['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2'],Y1,0.4311,0.0473,0.3905,0.0541
1a,['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3'],Y1,0.4298,0.0394,0.3958,0.0554
1a,['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'],Y1,0.429,0.0477,0.3989,0.0353
1a,['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'],Y1,0.4228,0.0517,0.3973,0.0341
1a,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio']",Y1,0.4364,0.0589,0.3956,0.0319
1a,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio']",Y1,0.4393,0.0561,0.3965,0.0314
1a,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio']",Y1,0.4281,0.0538,0.3925,0.0324
1a,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2']",Y1,0.441,0.0663,0.394,0.0501
1a,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~']",Y1,0.4456,0.0421,0.3893,0.0484
1a,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~']",Y1,0.1121,0.0522,0.0946,0.0537
1a,"['T1' 'T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~' 'bin_EPS']",Y1,0.1121,0.0522,0.0942,0.0534
1a,['T2'],Y1,0.5155,0.0621,0.4887,0.0471
1a,['T2' 'T3'],Y1,0.4953,0.0834,0.4478,0.0675
1a,['T2' 'T3' 'T4'],Y1,0.5007,0.0525,0.4603,0.0518
1a,['T2' 'T3' 'T4' 'T5'],Y1,0.4602,0.0497,0.4351,0.0499
1a,['T2' 'T3' 'T4' 'T5' 'S1'],Y1,0.4493,0.0411,0.418,0.0618
1a,['T2' 'T3' 'T4' 'T5' 'S1' 'S2'],Y1,0.4277,0.0459,0.3976,0.0609
1a,['T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3'],Y1,0.4242,0.0582,0.399,0.0616
1a,['T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'],Y1,0.4443,0.0466,0.4042,0.0478
1a,['T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'],Y1,0.4442,0.0514,0.4049,0.0451
1a,"['T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio']",Y1,0.4561,0.0534,0.4043,0.0422
1a,"['T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio']",Y1,0.4525,0.0591,0.4027,0.0418
1a,"['T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio']",Y1,0.4498,0.0633,0.4006,0.0414
1a,"['T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2']",Y1,0.4414,0.0608,0.4,0.0554
1a,"['T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~']",Y1,0.4423,0.0597,0.3878,0.055
1a,"['T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~']",Y1,0.1091,0.0513,0.0943,0.0541
1a,"['T2' 'T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'
 'neg_word_ratio' 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2'
 'C3~' 'C6~' 'bin_EPS']",Y1,0.1091,0.0513,0.0932,0.0526
1a,['T3'],Y1,0.5139,0.0562,0.4888,0.0482
1a,['T3' 'T4'],Y1,0.5046,0.0516,0.4724,0.0513
1a,['T3' 'T4' 'T5'],Y1,0.4576,0.0462,0.4489,0.0453
1a,['T3' 'T4' 'T5' 'S1'],Y1,0.4636,0.0487,0.4219,0.0616
1a,['T3' 'T4' 'T5' 'S1' 'S2'],Y1,0.4425,0.0438,0.4033,0.0639
1a,['T3' 'T4' 'T5' 'S1' 'S2' 'S3'],Y1,0.4395,0.0513,0.4107,0.0652
1a,['T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~'],Y1,0.4499,0.0456,0.4094,0.0488
1a,['T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio'],Y1,0.4469,0.0502,0.4111,0.0474
1a,['T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'],Y1,0.4639,0.0499,0.4087,0.0435
1a,"['T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio']",Y1,0.4663,0.051,0.4091,0.0415
1a,"['T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio']",Y1,0.4599,0.0547,0.406,0.0424
1a,"['T3' 'T4' 'T5' 'S1' 'S2' 'S3' 'C5~' 'pos_word_ratio' 'neg_word_ratio'
 'sales_share_ratio' 'sharesoff_shareout_ratio' 'C2']",Y1,0.4487,0.0582,0.405,0.0535
